({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 1, 'fusion_detect': 0})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
({}, {'fusion_2': 0, 'fusion_1': 0}, {'fission': 0, 'fusion_detect': 1})
